Word,Meaning,Example 
pundit ,an expert in a particular subject ,
languid,weak and without energy,
inculpated,"balme, incriminate","""he let out a stream of invective"""
alacrity,brisk and cheerful readiness ,"""she accepted the invitation with alacrity"""
invective,"insulting, abusive, or highly critical language.","""he let out a stream of invective"""
insinuate,suggest or hint (something bad) in an indirect and unpleasant way,"""he was insinuating that I had no self-control"""
diatribe,a bitter and abusive speech or piece of writing,"""a diatribe against consumerism"""
sully ,damage the purity or integrity of.,"""they were outraged that anyone should sully their good name"""
mar,impair the quality or appearance of; spoil.,"""violence marred a number of New Year celebrations"""
provenance,the place of origin or earliest known history of something.,"""an orange rug of Iranian provenance"""
vaunt,"boast about or praise (something), especially excessively.","""he was initially vaunted by the West for his leadership of the country"""
specious ,"superficially plausible, but actually wrong","""a specious argument"""
tether,tie (an animal) with a rope or chain so as to restrict its movement.,"""the horse had been tethered to a post"""
pliant ,easily bent ,"""pliant willow stems"""
finesse,impressive delicacy and skill.,"""orchestral playing of great finesse"""
bingling ,the action or fact of carrying out a task clumsily or incompetently.,"""he was heavily criticized for his bungling of the case"""
giddy,dizzying ,"""Luke felt almost giddy with relief"""
vertiginous ,relating to or affected by vertigo/height.,"""vertiginous drops to the valleys below"""
saturnine ,gloomy,
desultory,"lacking a plan, purpose, or enthusiasm.","""a few people were left, dancing in a desultory fashion"""
torrid,very hot and dry.,"""the torrid heat of the afternoon"""
whet ,sharpen the blade of (a tool or weapon).,"""she took out her dagger and began to whet its blade in even, rhythmic strokes"""
slake,quench ,"""slake your thirst with citron pressé"""
sate,satiate to the full,"""sate your appetite at the resort's restaurant"""
allay,diminish (fear or worry),
surfeit,an excessive amount of something.,"""a surfeit of food and drink"""
toady ,(toad) a person who behaves obsequiously to someone important.,
herald,"an official employed to oversee state ceremonial, precedence, and the use of armorial bearings, and (historically) to make proclamations, carry official messages, and oversee tournaments.",
florid ,having a red or flushed complexion./ excessively intricate,"""a stout man with a florid face"""
tyro,novice,
intersperse ,scatter among or between other things; place here and there.,"""deep pools interspersed by shallow shingle banks"""
fitfully ,intermittently ,"""he slept fitfully"""
